fantrax_name,fantrax_team,rank,score,name,team,position,matchup count,Date
Andreas Hugo Hoelgebaum Pereira,FUL,43,2008.471654230408,Andreas Pereira,,M,95,2023-07-11
Declan Rice,ARS,62,1817.8684254757159,Declan Rice,,M,105,2023-07-11
Rodrigo Hernandez Cascante,MCI,61,1819.5109190889996,Rodri,,M,102,2023-07-11
Ben Mee,BRF,60,1825.728645813454,Ben Mee,,D,104,2023-07-11
Leandro Trossard,ARS,59,1829.2015792368024,Leandro Trossard,,M,109,2023-07-11
Jacob Ramsey,AVL,58,1832.8441677029941,Jacob Ramsey,,M,104,2023-07-11
Bruno Moura,NEW,57,1835.4008996995274,Bruno Guimaraes,,M,111,2023-07-11
Alex Iwobi,EVE,56,1847.4183971996995,Alex Iwobi,,M,94,2023-07-11
Casemiro,MUN,55,1857.3317332094648,Casemiro,,M,98,2023-07-11
Hamed Traore,BOU,54,1908.983687688997,Hamed Traore,,M,90,2023-07-11
Bryan Mbeumo,BRF,53,1910.7476431727453,Bryan Mbeumo,,F,98,2023-07-11
Fabian Schar,NEW,52,1927.342330652943,Fabian Schar,,D,98,2023-07-11
James Tarkowski,EVE,51,1953.6055013809573,James Tarkowski,,D,102,2023-07-11
Andrew Robertson,LIV,50,1960.295377981669,Andrew Robertson,,D,98,2023-07-11
Diogo Jose Teixeira da Silva,LIV,49,1970.5942759306647,Diogo Jota,,F,133,2023-07-11
Ben Chilwell,CHE,48,1980.3056992742365,Ben Chilwell,,D,87,2023-07-11
Raheem Sterling,CHE,47,1984.6113614275266,Raheem Sterling,,F,101,2023-07-11
Said Benrahma,WHU,46,1985.4380472002224,Said Benrahma,,M,113,2023-07-11
Antony Matheus dos Santos,MUN,63,1786.0468618573655,Antony,,F,106,2023-07-11
Kai Havertz,ARS,45,1989.1709630319149,Kai Havertz,,F,103,2023-07-11
Marcus Tavernier,BOU,64,1777.9755910732108,Marcus Tavernier,,M,94,2023-07-11
Youri Tielemans,AVL,66,1775.6721569926654,Youri Tielemans,,M,102,2023-07-11
Dominic Solanke,BOU,83,1514.6500765665699,Dominic Solanke,,F,81,2023-07-11
Riyad Mahrez,MCI,82,1548.473370229075,Riyad Mahrez,,F,78,2023-07-11
Wilfried Zaha,CRY,81,1574.207797571117,Wilfried Zaha,,F,85,2023-07-11
Michael Keane,EVE,80,1594.395650141875,Michael Keane,,D,100,2023-07-11
Ivan Perisic,TOT,79,1643.232482799328,Ivan Perisic,,M,93,2023-07-11
Tomas Soucek,WHU,78,1646.5730188719433,Tomas Soucek,,M,86,2023-07-11
Ivan Toney,BRF,77,1653.525459076974,Ivan Toney,,F,91,2023-07-11
Benson Manuel,BUR,76,1668.4519596689356,Benson Manuel,,M,85,2023-07-11
Jadon Sancho,MUN,75,1668.8572208717608,Jadon Sancho,,M,84,2023-07-11
Dango Ouattara,BOU,74,1677.4587665253769,Dango Ouattara,,F,96,2023-07-11
Jose Diogo Dalot Teixeira,MUN,73,1691.3958465591088,Diogo Dalot,,D,88,2023-07-11
Dominic Calvert-Lewin,EVE,72,1699.7525756315674,Dominic Calvert-Lewin,,F,105,2023-07-11
Joe Willock,NEW,71,1703.023903055753,Joe Willock,,M,84,2023-07-11
Willian,FUL,70,1729.2721060267322,Willian,,F,104,2023-07-11
Virgil van Dijk,LIV,69,1744.6944332758676,Virgil van Dijk,,D,74,2023-07-11
Douglas Luiz Soares de Paulo,AVL,68,1746.5498835889673,Douglas Luiz,,M,124,2023-07-11
Julio Enciso,BHA,67,1762.0922619904272,Julio Enciso,,F,89,2023-07-11
Callum Wilson,NEW,65,1777.3955612897125,Callum Wilson,,F,104,2023-07-11
Alexandre Moreno Lopera,AVL,84,1511.111925237434,Alex Moreno,,D,91,2023-07-11
Allan Saint-Maximin,NEW,44,2007.5699249755137,Allan Saint-Maximin,,M,76,2023-07-11
Pedro Porro,TOT,41,2027.6440758311996,Pedro Porro,,D,92,2023-07-11
Michael Olise,CRY,19,2312.8308965176384,Michael Olise,,M,132,2023-07-11
Phil Foden,MCI,18,2324.097941341357,Phil Foden,,M,155,2023-07-11
Eberechi Eze,CRY,17,2337.3580169244487,Eberechi Eze,,M,139,2023-07-11
Jack Grealish,MCI,16,2355.141276001312,Jack Grealish,,M,174,2023-07-11
Kaoru Mitoma,BHA,15,2355.8145971331933,Kaoru Mitoma,,M,155,2023-07-11
Heung Min Son,TOT,14,2397.6671186820604,Son Heung-Min,,F,149,2023-07-11
Gabriel Silva,ARS,13,2404.6591941978013,Gabriel Martinelli,,M,164,2023-07-11
Marcus Rashford,MUN,12,2431.8443514003798,Marcus Rashford,,F,164,2023-07-11
Kieran Trippier,NEW,11,2458.5012215898064,Kieran Trippier,,D,144,2023-07-11
Martin Odegaard,ARS,10,2467.445852868924,Martin Odegaard,,M,147,2023-07-11
James Maddison,TOT,9,2469.4929644648605,James Maddison,,M,163,2023-07-11
Gabriel Jesus,ARS,8,2477.932513939855,Gabriel Jesus,,F,156,2023-07-11
Trent Alexander-Arnold,LIV,7,2533.8047518949797,Trent Alexander-Arnold,,D,130,2023-07-11
Bukayo Saka,ARS,6,2611.248322240325,Bukayo Saka,,M,129,2023-07-11
Kevin De Bruyne,MCI,5,2656.2521506984745,Kevin De Bruyne,,M,90,2023-07-11
Mohamed Ghaly,LIV,4,2684.3426899396163,Mohamed Salah,,F,132,2023-07-11
Harry Kane,TOT,3,2693.9127998553304,Harry Kane,,F,114,2023-07-11
Solly March,BHA,20,2278.310583546875,Solly March,,M,159,2023-07-11
Alexis Mac Allister,LIV,42,2011.6467360632284,Alexis Mac Allister,,M,105,2023-07-11
Ollie Watkins,AVL,21,2258.158818012837,Ollie Watkins,,F,158,2023-07-11
Pascal Gross,BHA,23,2247.0371899633546,Pascal Gross,,M,131,2023-07-11
Darwin Nunez,LIV,40,2050.5387903851324,Darwin Nunez,,F,149,2023-07-11
Ethan Pinnock,BRF,39,2051.7508529137845,Ethan Pinnock,,D,105,2023-07-11
Lucas Paqueta,WHU,38,2069.2095737814925,Lucas Paqueta,,M,118,2023-07-11
Luke Shaw,MUN,37,2080.0556196148873,Luke Shaw,,D,105,2023-07-11
Reece James,CHE,36,2092.8671155473958,Reece James,,D,163,2023-07-11
Pervis Estupinan,BHA,35,2100.19558502122,Pervis Estupinan,,D,96,2023-07-11
Joelinton Cassio Apolinario de Lira,NEW,34,2105.7750387527217,Joelinton,,M,112,2023-07-11
Aleksandar Mitrovic,FUL,33,2111.349832263188,Aleksandar Mitrovic,,F,157,2023-07-11
Dominik Szoboszlai,LIV,32,2146.9982778526914,Dominik Szoboszlai,,M,102,2023-07-11
Cody Gakpo,LIV,31,2160.082326119525,Cody Gakpo,,F,104,2023-07-11
Mason Mount,MUN,30,2168.984461768357,Mason Mount,,M,135,2023-07-11
Dejan Kulusevski,TOT,29,2179.4149242264834,Dejan Kulusevski,,M,103,2023-07-11
Christopher Nkunku,CHE,28,2193.8984826393607,Christopher Nkunku,,F,136,2023-07-11
Jarrod Bowen,WHU,27,2214.6028680709587,Jarrod Bowen,,M,145,2023-07-11
Alexander Isak,NEW,26,2219.232301599433,Alexander Isak,,F,154,2023-07-11
Morgan Gibbs-White,NOT,25,2221.774649451866,Morgan Gibbs-White,,M,170,2023-07-11
Luis Diaz,LIV,24,2228.225872607836,Luis Diaz,,F,142,2023-07-11
Dwight McNeil,EVE,22,2253.3070092263533,Dwight McNeil,,M,154,2023-07-11
Erling Haaland,MCI,2,2779.077209252113,Erling Haaland,,F,97,2023-07-11
Mathias Jensen,BRF,85,1509.7654999473953,Mathias Jensen,,M,71,2023-07-11
Julian Alvarez,MCI,87,1489.4448972838818,Julian Alvarez,,F,96,2023-07-11
Josh Brownhill,BUR,146,873.2270864200792,Josh Brownhill,,M,65,2023-07-11
Charlie Taylor,BUR,145,873.9118579720514,Charlie Taylor,,D,37,2023-07-11
Cristian Romero,TOT,144,873.9251230525612,Cristian Romero,,D,98,2023-07-11
Aaron Cresswell,WHU,143,880.5611317754468,Aaron Cresswell,,D,38,2023-07-11
Kevin Schade,BRF,142,881.6685856275269,Kevin Schade,,M,87,2023-07-11
Ben White,ARS,141,881.957523387065,Ben White,,D,83,2023-07-11
Leon Bailey,AVL,140,897.9374352569196,Leon Bailey,,F,87,2023-07-11
Jurrien Timber,ARS,139,899.418246302022,Jurrien Timber,,D,41,2023-07-11
Vladimir Coufal,WHU,138,911.1134407117684,Vladimir Coufal,,D,79,2023-07-11
Iliman Ndiaye,SHU,137,946.9920818046104,Iliman Ndiaye,,M,80,2023-07-11
Antonee Robinson,FUL,136,978.0788134523776,Antonee Robinson,,D,88,2023-07-11
Anass Zaroury,BUR,135,978.9586487343828,Anass Zaroury,,M,80,2023-07-11
Daniel Podence,WOL,134,987.2620023242172,Daniel Podence,,F,98,2023-07-11
Danny Welbeck,BHA,133,1000.3795421232277,Danny Welbeck,,F,80,2023-07-11
Sasa Kalajdzic,WOL,132,1028.1079937143395,Sasa Kalajdzic,,F,90,2023-07-11
Ibrahima Konate,LIV,131,1047.7397971780947,Ibrahima Konate,,D,87,2023-07-11
Justin Kluivert,BOU,130,1050.4315576675856,Justin Kluivert,,M,82,2023-07-11
Mateo Kovacic,MCI,147,856.8074566387203,Mateo Kovacic,,M,94,2023-07-11
John Stones,MCI,129,1050.4712865065644,John Stones,,D,89,2023-07-11
Ruben Santos Gato Alves Dias,MCI,148,850.8200970482785,Ruben Dias,,D,78,2023-07-11
Amadou Onana,EVE,150,847.4148109563355,Amadou Onana,,M,82,2023-07-11
Marc Cucurella,CHE,167,584.1742997930783,Marc Cucurella,,D,27,2023-07-11
Odsonne Edouard,CRY,166,616.0491352421568,Odsonne Edouard,,F,63,2023-07-11
Serge Aurier,NOT,165,629.497588471144,Serge Aurier,,D,42,2023-07-11
Levi Colwill,CHE,164,644.56804231255,Levi Colwill,,D,38,2023-07-11
Nathan Ake,MCI,163,671.5349416553321,Nathan Ake,,D,56,2023-07-11
Manor Solomon,FUL,162,676.0915028978008,Manor Solomon,,F,27,2023-07-11
Tanguy Ndombele,TOT,161,696.0638468798713,Tanguy Ndombele,,M,42,2023-07-11
Facundo Buonanotte,BHA,160,700.6933053478723,Facundo Buonanotte,,M,66,2023-07-11
Yoane Wissa,BRF,159,719.1745874163582,Yoane Wissa,,F,58,2023-07-11
Neco Williams,NOT,158,732.2629508455466,Neco Williams,,D,54,2023-07-11
Thiago Nascimento,LIV,157,737.4361377441085,Thiago,,M,68,2023-07-11
Matt Targett,NEW,156,739.8775016298647,Matt Targett,,D,81,2023-07-11
Matty Cash,AVL,155,767.4869230794353,Matty Cash,,D,76,2023-07-11
Lisandro Martinez,MUN,154,776.895772265014,Lisandro Martinez,,D,85,2023-07-11
Raphael Varane,MUN,153,786.7445449567931,Raphael Varane,,D,78,2023-07-11
